assembly	gene	contig	start	end	strand	uniref	identity	coverage	evalue	bitscore	prot_desc	tax	uniref_count
BAH	g3771_5	ctg4261	3270	3362	-	UniRef100_R5K9U6	39.579	0.479166666666667	1.93e-06	48.1	Riboflavin biosynthesis protein RibD domain protein	Clostridium sp. CAG:632 TaxID=1262830 	1
BAH	g3771_6	ctg4261	3378	4265	-	UniRef100_D4LWY7	100	1	3.72e-220	608	Aldo/keto reductases, related to diketogulonate reductase	Blautia obeum A2-162 TaxID=657314 	1
BAH	g3771_7	ctg4261	4306	5277	-	UniRef100_D4LWY8	100	1	1.23e-239	660	Hydrolases of the alpha/beta superfamily	Blautia obeum A2-162 TaxID=657314 	1
BAH	g3771_8	ctg4261	5293	5598	-	UniRef100_A0A414J0G0	96.059	0.97029702970297	6.65e-64	197	Flavodoxin-like domain-containing protein	Blautia obeum TaxID=40520 	1
BAH	g3771_9	ctg4261	5595	5753	-	UniRef100_D4LWY9	100	1	4.01e-28	103	Uncharacterized protein	Blautia obeum A2-162 TaxID=657314 	1
BAH	g3771_10	ctg4261	5776	6369	-	UniRef100_D4LWZ0	100	1	7.72e-137	390	Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases)	Firmicutes TaxID=1239 	2
BAH	g3771_11	ctg4261	6602	7369	-	UniRef100_D4LWZ2	100	1	1.27e-191	533	Uncharacterized homolog of gamma-carboxymuconolactone decarboxylase subunit	Blautia obeum TaxID=40520 	2
BAH	g3771_12	ctg4261	7507	7947	+	UniRef100_D4LWZ3	100	1	3.17e-102	298	Transcriptional regulator, MerR family	Blautia obeum A2-162 TaxID=657314 	1
BAH	g3771_13	ctg4261	8765	8998	+	UniRef100_D4LWZ4	100	1	3.91e-48	156	Uncharacterized protein	Blautia obeum A2-162 TaxID=657314 	1
BAH	g3771_14	ctg4261	8973	9236	+	UniRef100_D4LWZ5	100	1	2.66e-55	175	Protease subunit of ATP-dependent Clp proteases	Blautia obeum TaxID=40520 	2
BAH	g3771_15	ctg4261	9349	9657	+	UniRef100_D4LWZ6	100	1	1.64e-47	156	Uncharacterized protein	Blautia obeum TaxID=40520 	2
BAH	g3771_16	ctg4261	9703	9921	+	UniRef100_D4LWZ7	100	1	2.56e-44	146	Uncharacterized protein	Blautia obeum TaxID=40520 	2
BAH	g3883_1	ctg4393	3	1565	-	UniRef100_UPI0010671719	74.814	0.749640287769784	0	1006	DNA mismatch repair endonuclease MutL	Ruthenibacterium lactatiformans TaxID=1550024 	1
BAH	g3883_2	ctg4393	1562	2044	-	UniRef100_A0A0W7TQQ1	23.149	0.232896652110626	9.12e-98	305	DNA mismatch repair protein MutL	Ruthenibacterium lactatiformans TaxID=1550024 	1
BAH	g3883_3	ctg4393	2081	3925	-	UniRef100_UPI0010654B46	70.595	0.707373271889401	0	1178	DNA mismatch repair protein MutS	Ruthenibacterium lactatiformans TaxID=1550024 	1
BAH	g3883_4	ctg4393	3946	4686	-	UniRef100_A0A3A6ESG4	28.11	0.28110599078341	1.14e-162	481	DNA mismatch repair protein MutS	unclassified Subdoligranulum TaxID=2685293 	2
BAH	g3883_5	ctg4393	4738	5157	-	UniRef100_A0A372V772	100	1	1.17e-87	261	YlbF family regulator	unclassified Subdoligranulum TaxID=2685293 	4
BAH	g3883_6	ctg4393	5238	6614	-	UniRef100_A0A0W7TQR5	100	1	0	913	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	Ruminococcaceae TaxID=541000 	5
BAH	g3883_7	ctg4393	6843	8864	-	UniRef100_UPI001064DBF7	99.9	1	0	1300	peptidoglycan DD-metalloendopeptidase family protein	Ruthenibacterium lactatiformans TaxID=1550024 	1
BAH	g3883_8	ctg4393	8861	9229	-	UniRef100_A0A0D8J3S5	99.2	1	2.41e-81	243	Uncharacterized protein	Ruthenibacterium lactatiformans TaxID=1550024 	2
BAH	g3883_9	ctg4393	9468	10124	+	UniRef100_A0A0D8J6X2	100	1	3.6e-148	420	Uncharacterized protein	Ruminococcaceae TaxID=541000 	3
BAH	g4445_1	ctg5008	1	2670	-	UniRef100_A0A417A7X9	46.301	0.854266538830297	6.92e-254	747	YDG domain-containing protein	Clostridium sp. AM45-5 TaxID=2292306 	2
BAH	g4445_2	ctg5008	2993	5281	-	UniRef100_A0A416BVF1	38.043	0.69804822043628	6.1e-245	713	YDG domain-containing protein	Clostridium sp. AF37-7 TaxID=2293017 	1
BAH	g4445_3	ctg5008	5379	7709	-	UniRef100_A0A416G269	41.671	0.539085545722714	0	928	Uncharacterized protein	Clostridium sp. AF29-8BH TaxID=2293009 	1
BAH	g4445_4	ctg5008	7700	9913	-	UniRef100_A0A416JSV7	65.716	0.853459972862958	6.95e-285	806	Uncharacterized protein	Lachnospiraceae bacterium AM48-27BH TaxID=2292271 	1
BAH	g4607_1	ctg5193	160	432	-	NA	NA	NA	NA	NA	NA	NA	NA
BAH	g4607_2	ctg5193	624	2021	-	UniRef100_A0A395W133	100	1	0	941	Sialate O-acetylesterase	Bacteroides ovatus TaxID=28116 	3
BAH	g4607_3	ctg5193	2112	2804	-	UniRef100_A0A395W6A6	100	1	1.67e-170	478	Uncharacterized protein	Bacteroides TaxID=816 	5
BAH	g4607_4	ctg5193	2817	4007	-	UniRef100_A0A395W1Z5	100	1	4.23e-302	824	DUF4959 domain-containing protein	Bacteroides TaxID=816 	5
BAH	g4607_5	ctg5193	4023	5960	-	UniRef100_A0A395W0J1	100	1	0	1335	RagB/SusD family nutrient uptake outer membrane protein	Bacteroides TaxID=816 	5
BAH	g4607_6	ctg5193	5973	9185	-	UniRef100_A0A395W4B9	100	1	0	2144	TonB-dependent receptor	Bacteroides TaxID=816 	7
BAH	g4607_7	ctg5193	9290	10141	-	UniRef100_A0A6A1DA17	55.051	0.914473684210526	2.8e-112	335	Beta-glucosidase (Fragment)	Bacteroides ovatus TaxID=28116 	1
BAH	g5848_1	ctg6585	2	442	+	UniRef100_UPI0004B7473D	44.081	0.466960352422908	2.41e-59	192	helix-turn-helix domain-containing protein	Lachnospiraceae bacterium VE202-12 TaxID=1232455 	1
BAH	g5848_2	ctg6585	462	830	+	UniRef100_A0A1C7IFG8	49.167	0.754098360655738	9.08e-34	122	AraC family transcriptional regulator	Blautia sp. YL58 TaxID=1796616 	1
BAH	g5848_3	ctg6585	965	1366	+	UniRef100_UPI0004B8E4E3	60.537	0.635897435897436	3.41e-77	236	extracellular solute-binding protein	Lachnospiraceae bacterium VE202-23 TaxID=1232456 	1
BAH	g5848_4	ctg6585	1399	1506	+	UniRef100_UPI00047082A4	5.543	0.0698151950718686	1.16e-10	63.9	extracellular solute-binding protein	Lachnospiraceae bacterium VE202-12 TaxID=1232455 	1
BAH	g5848_5	ctg6585	1457	2161	+	UniRef100_UPI00047082A4	45.174	0.455852156057495	2.85e-158	457	extracellular solute-binding protein	Lachnospiraceae bacterium VE202-12 TaxID=1232455 	1
BAH	g5848_6	ctg6585	2209	2406	+	UniRef100_UPI0005D15AC0	7.262	0.109712230215827	2.1e-20	93.2	extracellular solute-binding protein	Clostridiaceae bacterium MS3 TaxID=1329795 	1
BAH	g5848_7	ctg6585	2373	2540	+	UniRef100_UPI0005D15AC0	7.735	0.0989208633093525	8.06e-19	88.2	extracellular solute-binding protein	Clostridiaceae bacterium MS3 TaxID=1329795 	1
BAH	g5848_8	ctg6585	2720	3553	+	UniRef100_F7KDG9	90.163	0.901639344262295	1.54e-187	526	Multiple sugar transport system permease	Lachnospiraceae TaxID=186803 	3
BAH	g5848_9	ctg6585	3591	3830	+	UniRef100_A0A1E3ARV6	24.662	0.246621621621622	8.45e-41	144	L-arabinose transport system permease protein AraQ	Lachnospiraceae TaxID=186803 	2
BAH	g5848_10	ctg6585	3827	4087	+	UniRef100_A0A1E3ARV6	28.716	0.287162162162162	8.59e-49	165	L-arabinose transport system permease protein AraQ	Lachnospiraceae TaxID=186803 	2
BAH	g5848_11	ctg6585	4146	4307	+	UniRef100_A0A1E3ARV6	10.807	0.118243243243243	1.04e-11	67.4	L-arabinose transport system permease protein AraQ	Lachnospiraceae TaxID=186803 	2
BAH	g5848_12	ctg6585	4252	4482	+	UniRef100_UPI000C814F11	25.675	0.256756756756757	9.38e-42	147	carbohydrate ABC transporter permease	Eisenbergiella massiliensis TaxID=1720294 	1
BAH	g5848_13	ctg6585	4494	4898	+	UniRef100_A0A1E3ARV3	31.795	0.323450134770889	6.29e-80	249	Sugar-binding cellulase-like protein	Eisenbergiella tayi TaxID=1432052 	1
BAH	g5848_14	ctg6585	4911	5228	+	UniRef100_UPI000470573D	36.538	0.384615384615385	2.05e-63	202	cellulase family glycosylhydrolase	Lachnospiraceae bacterium VE202-12 TaxID=1232455 	1
BAH	g5848_15	ctg6585	5173	5496	+	UniRef100_UPI000470573D	31.526	0.361538461538462	8.95e-53	175	cellulase family glycosylhydrolase	Lachnospiraceae bacterium VE202-12 TaxID=1232455 	1
BAH	g5848_16	ctg6585	5510	5611	+	UniRef100_R5CEI8	27	0.476190476190476	1.86e-07	51.2	Uncharacterized protein	Firmicutes bacterium CAG:791 TaxID=1262993 	1
BAH	g5848_17	ctg6585	5596	6279	+	UniRef100_UPI0004BAB5D5	86.153	0.861538461538462	1.48e-168	474	hypothetical protein	Lachnospiraceae bacterium VE202-12 TaxID=1232455 	1
BAH	g5848_18	ctg6585	6377	6580	+	UniRef100_F7KDG6	11.591	0.115913555992141	5.36e-31	122	Alpha-L-AF_C domain-containing protein	unclassified Lachnospiraceae TaxID=186928 	2
BAH	g5848_19	ctg6585	6540	6848	+	UniRef100_F7KDG6	16.152	0.198428290766208	1.52e-47	168	Alpha-L-AF_C domain-containing protein	unclassified Lachnospiraceae TaxID=186928 	2
BAH	g5848_20	ctg6585	8470	9552	+	UniRef100_A0A1E3UGX4	62.107	0.626086956521739	8.4e-251	700	Histidine kinase	Lachnospiraceae TaxID=186803 	3
BAH	g5848_21	ctg6585	9729	10022	+	UniRef100_UPI0005D22012	34.412	0.352226720647773	1.89e-51	171	response regulator	Clostridiaceae bacterium MS3 TaxID=1329795 	1
BAH	g6007_1	ctg6760	141	2120	-	UniRef100_A0A254NQ80	1.4	0.033748701973001	1.13e-05	61.2	Uncharacterized protein	Saccharibacillus sp. O23 TaxID=2009338 	1
BAH	g6007_2	ctg6760	2524	2691	-	UniRef100_A0A1I5M0R7	80.336	0.901639344262295	2.83e-28	104	Uncharacterized protein	Oscillibacter sp. PC13 TaxID=1855299 	1
BAH	g6007_3	ctg6760	2785	3042	-	UniRef100_A0A1I5M104	54.117	0.941176470588235	1.02e-28	107	Uncharacterized protein	Oscillibacter sp. PC13 TaxID=1855299 	1
BAH	g6007_4	ctg6760	3161	3724	-	UniRef100_R9LXD0	82.9	1	2.62e-105	309	Uncharacterized protein	Oscillibacter sp. 1-3 TaxID=1235797 	1
BAH	g6007_5	ctg6760	3721	4281	-	UniRef100_A0A316RPT1	75.507	0.941489361702128	1.4e-93	280	Chromate transporter	Ruminococcaceae bacterium TaxID=1898205 	1
BAH	g6007_6	ctg6760	4399	4530	-	UniRef100_UPI0003087969	7.051	0.0779220779220779	7.9e-18	84.7	gamma-glutamyltransferase family protein	Oscillibacter ruminantium TaxID=1263547 	1
BAH	g6007_7	ctg6760	4661	5185	-	UniRef100_A0A417NBX7	36.755	0.586206896551724	1.11e-38	139	Uncharacterized protein	Ruminococcaceae bacterium TF06-43 TaxID=2292270 	1
BAH	g6007_8	ctg6760	5176	5343	-	UniRef100_A0A645J959	22.851	0.40952380952381	3.11e-12	65.5	Glutathione hydrolase-like YwrD proenzyme	bioreactor metagenome TaxID=1076179 	1
BAH	g6007_9	ctg6760	5435	5554	-	UniRef100_UPI0003087969	5.196	0.0686456400742115	2.7e-13	71.6	gamma-glutamyltransferase family protein	Oscillibacter ruminantium TaxID=1263547 	1
BAH	g6007_10	ctg6760	5541	6023	-	UniRef100_A0A417NBY3	50.036	0.829787234042553	1.12e-62	200	Uncharacterized protein	Ruminococcaceae bacterium TF06-43 TaxID=2292270 	1
BAH	g6007_11	ctg6760	6181	6711	-	NA	NA	NA	NA	NA	NA	NA	NA
BAH	g6007_12	ctg6760	6819	7085	-	NA	NA	NA	NA	NA	NA	NA	NA
BAH	g6007_13	ctg6760	7193	7645	-	UniRef100_A0A1I5UIM8	76.585	0.907407407407407	1.89e-85	256	Uncharacterized protein	Oscillibacter sp. PC13 TaxID=1855299 	1
BAH	g6007_14	ctg6760	7787	8047	-	NA	NA	NA	NA	NA	NA	NA	NA
BAH	g6007_15	ctg6760	8332	8562	+	UniRef100_A0A1I5UIK5	7.825	0.0863697705802969	7.71e-29	117	Polysaccharide pyruvyl transferase CsaB	Oscillibacter sp. PC13 TaxID=1855299 	1
BAH	g6007_16	ctg6760	8547	8846	+	UniRef100_R6TKJ2	11.336	0.130904183535762	5.91e-50	177	Putative polysaccharide pyruvyl transferase	Oscillibacter sp. CAG:155 TaxID=1262910 	1
BAH	g6007_17	ctg6760	9272	9556	+	UniRef100_A0A645BC25	24.009	0.330708661417323	8e-32	121	PS_pyruv_trans domain-containing protein	bioreactor metagenome TaxID=1076179 	1
BAH	g6007_18	ctg6760	9522	9785	+	UniRef100_A0A645BC25	17.725	0.263779527559055	2.12e-22	96.7	PS_pyruv_trans domain-containing protein	bioreactor metagenome TaxID=1076179 	1
BAH	g6007_19	ctg6760	9749	9964	+	UniRef100_A0A174UJN0	28.906	0.390625	3.74e-17	79.3	Polysaccharide pyruvyl transferase CsaB	Flavonifractor plautii TaxID=292800 	1
BAH	g6007_20	ctg6760	9918	10142	+	NA	NA	NA	NA	NA	NA	NA	NA
